Εκπομπές διοξειδίου του άνθρακα(CO2),C02_EMMISSIONS_
Παραγωγή άνθρακα,COAL_PROD_
Παραγωγή ηλεκτρισμού,ELEC_GEN_
Υδροηλεκτρική κατανάλωση,HYDRO_CONSUM_
Κατανάλωση φυσικού αερίου,GAS_CONSUM_
Παραγωγή φυσικού αερίου,GAS_PROD_
Κατανάλωση φυσικού αερίου-Καθημερινός μέσος όρος,GAS_CONSUM_D_
Παραγωγή φυσικού αερίου-Καθημερινός μέσος όρος,GAS_PROD_D_
Κατανάλωση πυρηνικής ενέργειας,NUC_CONSUM_
Κατανάλωση πετρελαίου,OIL_CONSUM_
Κατανάλωση πετρελαίου-Καθημερινός μέσος όρος,OIL_CONSUM_D_
Παραγωγή πετρελαίου-Ημερήσιος μέσος όρος,OIL_PROD_D_
Παραγωγή πετρελαίου,OIL_PROD_
Χωρητικότητα ηλιακής ενέργειας,SOLAR_CAP_
Κατανάλωση ηλιακής ενέργειας,SOLAR_CONSUM_
Κατανάλωση αιολικής ενέργειας,WIND_CONSUM_
