Εγκαταστάσεις σε όπλα,EST_WEAP_
Παραγωγή στα όπλα,OUT_WEAP_
Υπάλληλοι στα όπλα,EMP_WEAP_
Ημερομίσθια και μισθοί στα όπλα,WAG_WEAP_
Καταστήματα κοσμημάτων,EST_JWLR_
Υπάλληλοι σε κοσμήματα,EMP_JWLR_
Παραγωγή στα κοσμήματα,OUT_JWLR_
Ημερομίσθια και μισθοί στα κοσμήματα,WAG_JWLR_
Προστιθέμενη αξία στα κοσμήματα,VAL_JWLR_
Καταστήματα καλλυντικών,EST_COSM_
Παραγωγή σε καλλυντικά,OUT_COSM_
Υπάλληλοι στα καλλυντικά,EMP_COSM_
Ημερομίσθια και μισθοί στα καλλυντικά,WAG_COSM_
Παραγωγή στα υποδήματα,OUT_FOOT_
Υπάλληλοι σε υποδήματα,EMP_FOOT_
Υπάλληλοι στη φαρμακευτική,MP_PHRM_
Παραγωγή στη φαρμακευτική,OUT_PHRM_
Ημερομίσθια και μισθοί στη φαρμακευτική,WAG_PHRM_
Υπάλληλοι σε φούρνους,EMP_OVEN_
Ημερομίσθια και μισθοί σε φούρνους,WAG_OVEN_
Εγκαταστάσεις σε γαλακτοκομικά προϊόντα,EST_DAIR_
Εργαζόμενοι στα γαλακτοκομικά προϊόντα,EMP_DAIR_
Υπάλληλοι σε γεωργικά μηχανήματα,EMP_MCAG_
Εγκαταστάσεις σε αγροτικά μηχανήματα,EST_MCAG_
Παραγωγή σε γεωργικά μηχανήματα,OUT_MCAG_
Ημερομίσθια και μισθοί σε αγροτικά μηχανήματα,WAG_MCAG_
