Αστικός πληθυσμός,_SP_URB_TOTL
Συνολικός πληθυσμός,_SP_POP_TOTL
Αγροτικός πληθυσμός,_SP_RUR_TOTL
Τηλεφωνικές γραμμές,_IT_MLT_MAIN
ΑΕγχΠ(τρέχουσα LCU),_NY_GDP_MKTP_CN
Είδη θηλαστικών-απειλούμενα,_EN_MAM_THRD_NO
Πληθυσμός στη μεγαλύτερη πόλη,_EN_URB_LCTY
Πρωτοβάθμια εκπαίδευση-μαθητές,_SE_PRM_ENRL
Πρωτοβάθμια εκπαίδευση-εκπαιδευτικοί,_SE_PRM_TCHR
Πληρωμές φόρου(αριθμός),_IC_TAX_PAYM
Διεθνής τουρισμός(αριθμός αναχωρήσεων),_ST_INT_DPRT
Πρόσβαση στην ηλεκτρική ενέργεια(% του πληθυσμού),_EG_ELC_ACCS_ZS
Πραγματικό επιτόκιο(%),_FR_INR_RINR
Οχήματα(ανά χιλιόμετρο δρόμου),_IS_VEH_ROAD_K1
Διεθνής τουρισμός(αριθμός αφίξεων),_ST_INT_ARVL
